serial_number,user_id,department_code,service_code,district_code,taluk_code,village_code,urban_unit_code,ward_code,block_code,application_date,application_status,last_updated_datetime,application_id,survey_number,subdivision_number,patta_number,role_id,source_code,csc_service_charge,government_service_charge,can_number,dispatch_date,received_date,ip_address,generated_datetime,source_name,renewal_number,workflow_state,igrs_form6_number,return_status,current_subdivision_number,parent_application_id,auto_mutated_flag,is_auto_mutated,igrs_auto_mutation_flag,camp_flag,camp_correction_id,camp_code
1,tut_rselvakumartah,-,0154,28,01,001,,103,0015,2023-01-06,01,2023-01-18 19:16:15.451,2023/0154/28/000021,90,0,60858,0,00,,,202227078638,,,10.236.251.172,,-,1,C,202227078638,S,0,,,,N,,,
1,tut_rselvakumartah,01,0154,28,01,001,,102,0015,2023-03-11,02,2023-03-19 08:51:30.692,2023/0154/28/000395,25,0,59118,0,00,,,133280122203291,,,59.93.33.20,,O961,1,C,,,,,,,,,,
1,tut_rselvakumartah,01,0154,28,01,001,,102,0015,2023-03-23,01,2023-03-23 15:52:20.845,2023/0154/28/000571,25,0,59118,0,00,,,133280122203291,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_ramyadevi,-,0153,28,01,001,,102,0015,2023-07-13,01,2023-07-19 18:47:43.65,2023/0153/28/001397,1,0,59092,0,1,,,202328420553,,,10.236.251.148,,-,0,C,202328420553,S,0,,,,N,,,
1,tut_prabhakaran,-,0154,28,01,001,,103,0015,2023-04-26,02,2023-07-28 15:24:46.246,2023/0154/28/001142,6,1,60742,0,0,,,202328705439,,,10.236.251.173,,-,0,C,202328705439,S,1,,,,N,,,
1,tut_rspoobathi,01,0153,28,01,001,,103,0015,2022-04-07,01,2022-04-21 16:54:56.884,2022/0153/28/000254,5,4A,60738,0,00,,,133280117766282,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_rspoobathi,01,0153,28,01,001,,103,0015,2022-04-21,02,2022-07-08 13:12:29.359,2022/0153/28/000280,6,1,60742,0,00,,,133280117991838,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_rspoobathi,01,0153,28,01,001,,103,0015,2022-04-27,02,2022-07-08 13:15:17.449,2022/0153/28/000290,5,4A,60738,0,00,,,133280118097786,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_rspoobathi,-,0153,28,01,001,,102,0015,2022-06-28,01,2022-08-01 11:24:07.66,2022/0153/28/000463,10,0,59101,0,00,,,202224708630,,,10.236.251.148,,-,1,C,202224708630,S,0,,,,N,,,
3,tut_rspoobathi,-,0153,28,01,001,,102,0015,2022-06-28,02,2022-08-01 11:24:08.135,2022/0153/28/000463,16,0,59107,0,00,,,202224708630,,,10.236.251.148,,-,1,C,202224708630,S,0,,,,N,,,
2,tut_rspoobathi,-,0153,28,01,001,,102,0015,2022-06-28,02,2022-08-01 11:24:08.498,2022/0153/28/000463,17,0,59108,0,00,,,202224708630,,,10.236.251.148,,-,1,C,202224708630,S,0,,,,N,,,
4,tut_rspoobathi,-,0153,28,01,001,,102,0015,2022-06-28,02,2022-08-01 11:24:08.862,2022/0153/28/000463,20,0,59111,0,00,,,202224708630,,,10.236.251.148,,-,1,C,202224708630,S,0,,,,N,,,
1,tut_rspoobathi,-,0153,28,01,001,,102,0015,2022-06-28,01,2022-08-01 11:28:34.063,2022/0153/28/000468,1,0,59092,0,00,,,202224771887,,,10.236.251.173,,-,1,C,202224771887,S,0,,,,N,,,
1,tut_rspoobathi,-,0153,28,01,001,,102,0015,2022-07-17,01,2022-08-01 11:31:14.245,2022/0153/28/000526,24,3,59117,0,00,,,202224809008,,,10.236.251.147,,-,1,C,202224809008,S,3,,,,N,,,
1,tut_rspoobathi,01,0153,28,01,001,,103,0015,2022-08-30,01,2022-08-30 17:10:26.016,2022/0153/28/000827,90,0,60858,0,00,,,133280119050087,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_ramyadevi,01,0153,28,01,001,,103,0015,2022-09-12,01,2022-10-07 12:24:32.798,2022/0153/28/000895,5,4A,60738,0,00,,,133280120437730,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
